TEAM Red_Bull 480 92 88 93 94
TEAM Ferrari 500 90 89 90 87
TEAM Mercedes 490 85 86 91 90
TEAM McLaren 470 84 85 90 86
TEAM Aston_Martin 450 80 78 84 82

DRIVER Max_Verstappen 0 95.5 90 96 85 92 94
DRIVER Sergio_Perez 0 45.0 88 84 65 80 82 85
DRIVER Charles_Leclerc 1 85.0 86 94 88 90 85 82
DRIVER Carlos_Sainz 1 60.0 91 89 72 86 84 88
DRIVER Lewis_Hamilton 2 90.0 99 92 78 94 90 92
DRIVER George_Russell 2 65.0 84 88 80 88 86 84
DRIVER Lando_Norris 3 75.0 82 91 76 89 85 86
DRIVER Oscar_Piastri 3 50.0 72 87 82 84 82 80
DRIVER Fernando_Alonso 4 80.0 99 90 88 95 88 90
DRIVER Lance_Stroll 4 35.0 76 82 70 78 75 72

RACE_DATA 1 DRY Bahrain_GP 57 3 4 10 80 40
RACE_DATA 2 RAINING Jeddah_Corniche 50 4 2 25 90 30
RACE_DATA 3 DRY Albert_Park 58 3 3 15 70 50
RACE_DATA 4 WET Baku_City 51 2 5 30 95 20
RACE_DATA 5 DRY Miami_International 57 3 3 10 85 45
RACE_DATA 6 DRY Circuit_de_Monaco 78 5 2 5 10 95
RACE_DATA 7 RAINING Circuit_de_Barcelona 66 3 4 40 60 65
RACE_DATA 8 WET Gilles_Villeneuve 70 3 3 20 88 35
